,date,new_cases,new_deaths,new_tests,total_cases,total_deaths,IFR^,Percent Positivity,Positivity Standardized Cases,Mortality Standardized Cases,Mortality Standardized Total,Estimated Percent Infected
29293,2020-05-07,24128.0,2353.0,301644.0,1228603.0,73431.0,5.976788270906062,7.998833061489703,77198.33764304942,188240.0,5874480.0,1.774753178937569
29294,2020-05-08,28369.0,2239.0,297850.0,1256972.0,75670.0,6.020022721269845,9.524592915897264,108081.27057243578,179120.0,6053600.0,1.8288675498114673
29295,2020-05-09,26957.0,1510.0,291609.0,1283929.0,77180.0,6.011235823787764,9.244227715879825,99678.65861478899,120800.0,6174400.0,1.8653627262382586
29296,2020-05-10,25612.0,1614.0,266330.0,1309541.0,78794.0,6.016917377920966,9.61664100927421,98520.56381181242,129120.0,6303520.0,1.9043714777302065
29297,2020-05-11,20258.0,734.0,382123.0,1329799.0,79528.0,5.980452684954644,5.301434354906666,42958.5828646797,58720.0,6362240.0,1.9221115171323693
29298,2020-05-12,18117.0,1156.0,308555.0,1347916.0,80684.0,5.985832945079664,5.871562606342468,42550.03989564259,92480.0,6454720.0,1.950050870741224
29299,2020-05-13,22048.0,1703.0,319041.0,1369964.0,82387.0,6.01380766209915,6.910710535636485,60946.93835588529,136240.0,6590960.0,1.9912106624331616
29300,2020-05-14,20782.0,1746.0,364074.0,1390746.0,84133.0,6.04948710979575,5.708180205123135,47450.96040914759,139680.0,6730640.0,2.033409720738578
29301,2020-05-15,27143.0,1773.0,358323.0,1417889.0,85906.0,6.058725330403155,7.57500913979845,82243.38923261972,141840.0,6872480.0,2.076261341801294
29302,2020-05-16,25508.0,1662.0,362120.0,1443397.0,87568.0,6.066799362891845,7.044073787694686,71872.09367060642,132960.0,7005440.0,2.1164302048617754
29303,2020-05-17,24487.0,1186.0,371154.0,1467884.0,88754.0,6.0463905867221115,6.597530944028625,64621.49609057157,94880.0,7100320.0,2.1450946282009644
29304,2020-05-18,18873.0,808.0,354713.0,1486757.0,89562.0,6.023983744485481,5.320639502922081,40166.57173545937,64640.0,7164960.0,2.1646231729379495
29305,2020-05-19,21841.0,791.0,401339.0,1508598.0,90353.0,5.989203220473579,5.442032795218007,47543.7753121426,63280.0,7228240.0,2.1837408448277458
29306,2020-05-20,19970.0,1568.0,407159.0,1528568.0,91921.0,6.013536852792941,4.904717812942856,39178.88588978753,125440.0,7353680.0,2.221637822733182
29307,2020-05-21,23285.0,1518.0,461819.0,1551853.0,93439.0,6.021124423511763,5.042018626344953,46961.36148577689,121440.0,7475120.0,2.2583263510880625
29308,2020-05-22,25434.0,1263.0,409088.0,1577287.0,94702.0,6.004107052172496,6.217244211514393,63251.75571026283,101040.0,7576160.0,2.2888517867351075
29309,2020-05-23,24147.0,1305.0,390000.0,1601434.0,96007.0,5.995064423510429,6.191538461538461,59802.831692307685,104400.0,7680560.0,2.3203923200046193
29310,2020-05-24,21236.0,1080.0,381505.0,1622670.0,97087.0,5.983163551430667,5.566375276863999,47283.018151793556,86400.0,7766960.0,2.346494830296629
29311,2020-05-25,20568.0,633.0,422588.0,1643238.0,97720.0,5.9467952907612895,4.867151930485485,40043.03236249018,50640.0,7817600.0,2.361793801606668
29312,2020-05-26,19064.0,500.0,305932.0,1662302.0,98220.0,5.908673634514066,6.231450126171829,47518.5460821359,40000.0,7857600.0,2.3738782971122285
29313,2020-05-27,18910.0,696.0,308433.0,1681212.0,98916.0,5.883612536669974,6.130991171502401,46374.81722124416,55680.0,7913280.0,2.390699914855968
29314,2020-05-28,18721.0,1526.0,434470.0,1699933.0,100442.0,5.908585808970118,4.308928119317789,32266.977328699333,122080.0,8035360.0,2.4275817951389373
29315,2020-05-29,21817.0,1175.0,487229.0,1721750.0,101617.0,5.901960214897634,4.477771232828917,39076.613994651394,94000.0,8129360.0,2.4559803595770036
29316,2020-05-30,25337.0,1219.0,425754.0,1747087.0,102836.0,5.88614075887463,5.951089126584836,60313.098080111995,97520.0,8226880.0,2.4854423596195594
29317,2020-05-31,23297.0,945.0,396171.0,1770384.0,103781.0,5.862061564044863,5.880541483349361,54799.589975036026,75600.0,8302480.0,2.5082820561250676
29318,2020-06-01,19807.0,602.0,412327.0,1790191.0,104383.0,5.830830341566905,4.803711617235835,38058.84640103607,48160.0,8350640.0,2.522831788713762
29319,2020-06-02,21086.0,764.0,418646.0,1811277.0,105147.0,5.80513085519222,5.036713595734821,42481.65715186578,61120.0,8411760.0,2.541296897846258
29320,2020-06-03,20544.0,1034.0,466714.0,1831821.0,106181.0,5.796472471928206,4.401839242019738,36172.5541552214,82720.0,8494480.0,2.5662876345517565
29321,2020-06-04,19699.0,994.0,460984.0,1851520.0,107175.0,5.788487296923608,4.273250264651267,33671.50278534612,79520.0,8574000.0,2.59031161161681
29322,2020-06-05,21140.0,1036.0,506275.0,1872660.0,108211.0,5.778464857475463,4.17559626685102,35308.842032492226,82880.0,8656880.0,2.6153506863043305
29323,2020-06-06,25178.0,932.0,512371.0,1897838.0,109143.0,5.750912353952234,4.9140173819361355,49490.05185695521,74560.0,8731440.0,2.6378761859266944
29324,2020-06-07,22223.0,659.0,447150.0,1920061.0,109802.0,5.718672479676426,4.969920608296992,44178.61827127362,52720.0,8784160.0,2.6538035510030227
29325,2020-06-08,22302.0,712.0,396191.0,1942363.0,110514.0,5.68966768827454,5.629103134599221,50216.10324313273,56960.0,8841120.0,2.67101187260294
29326,2020-06-09,18822.0,493.0,419977.0,1961185.0,111007.0,5.660200338060918,4.481673996433138,33741.62718434581,39440.0,8880560.0,2.6829271851714225
29327,2020-06-10,18665.0,999.0,428279.0,1979850.0,112006.0,5.657297269995202,4.3581403711132225,32537.876010731317,79920.0,8960480.0,2.7070720071915315
29328,2020-06-11,20614.0,918.0,456423.0,2000464.0,112924.0,5.64489038543058,4.516424457137348,37240.62950377172,73440.0,9033920.0,2.7292591409397398
29329,2020-06-12,22883.0,896.0,617370.0,2023347.0,113820.0,5.62533267897202,3.706529309814212,33926.604078591445,71680.0,9105600.0,2.7509145568857036
29330,2020-06-13,25639.0,849.0,505393.0,2048986.0,114669.0,5.5963779157105025,5.0730817403485995,52027.49709631909,67920.0,9173520.0,2.7714340302541447
